X,CH1,CH2,
Second,Volt,Volt,
-1.71000e-06,-4.00e-01,8.00e-03,
-1.70000e-06,-7.99e-02,8.00e-03,
-1.69000e-06,2.40e-01,8.00e-03,
-1.68000e-06,5.60e-01,8.00e-03,
-1.67000e-06,8.00e-01,1.20e-02,
-1.66000e-06,1.04e+00,1.20e-02,
-1.65000e-06,1.28e+00,1.20e-02,
-1.64000e-06,1.36e+00,1.20e-02,
-1.63000e-06,1.52e+00,1.20e-02,
-1.62000e-06,1.52e+00,1.20e-02,
-1.61000e-06,1.52e+00,1.20e-02,
-1.60000e-06,1.44e+00,1.20e-02,
-1.59000e-06,1.28e+00,1.20e-02,
-1.58000e-06,1.12e+00,1.20e-02,
-1.57000e-06,8.80e-01,1.20e-02,
-1.56000e-06,5.60e-01,8.00e-03,
-1.55000e-06,3.20e-01,1.20e-02,
-1.54000e-06,0.00e+00,8.00e-03,
-1.53000e-06,-3.20e-01,8.00e-03,
-1.52000e-06,-4.80e-01,8.00e-03,
-1.51000e-06,-8.80e-01,8.00e-03,
-1.50000e-06,-1.04e+00,4.00e-03,
-1.49000e-06,-1.28e+00,4.00e-03,
-1.48000e-06,-1.44e+00,4.00e-03,
-1.47000e-06,-1.68e+00,4.00e-03,
-1.46000e-06,-1.68e+00,4.00e-03,
-1.45000e-06,-1.76e+00,4.00e-03,
-1.44000e-06,-1.68e+00,4.00e-03,
-1.43000e-06,-1.60e+00,4.00e-03,
-1.42000e-06,-1.36e+00,4.00e-03,
-1.41000e-06,-1.20e+00,4.00e-03,
-1.40000e-06,-1.04e+00,8.00e-03,
-1.39000e-06,-7.20e-01,8.00e-03,
-1.38000e-06,-4.80e-01,8.00e-03,
-1.37000e-06,-1.60e-01,8.00e-03,
-1.36000e-06,7.99e-02,1.20e-02,
-1.35000e-06,4.80e-01,8.00e-03,
-1.34000e-06,7.20e-01,1.20e-02,
-1.33000e-06,9.60e-01,1.20e-02,
-1.32000e-06,1.20e+00,1.20e-02,
-1.31000e-06,1.36e+00,1.20e-02,
-1.30000e-06,1.52e+00,1.20e-02,
-1.29000e-06,1.52e+00,1.20e-02,
-1.28000e-06,1.52e+00,1.60e-02,
-1.27000e-06,1.52e+00,1.60e-02,
-1.26000e-06,1.36e+00,1.20e-02,
-1.25000e-06,1.20e+00,1.20e-02,
-1.24000e-06,9.60e-01,1.20e-02,
-1.23000e-06,7.20e-01,1.20e-02,
-1.22000e-06,4.00e-01,8.00e-03,
